header,label,dataset_fold_1,dataset_fold_2,dataset_fold_3,dataset_fold_4,dataset_fold_5
WP_004844154.1,1,train,val,train,train,train
WP_080505081.1,1,train,val,train,train,train
CBK68931.1,1,train,val,train,train,train
WP_004843247.1,1,train,val,train,train,train
CBK67079.1,1,train,val,train,train,train
WP_008397132.1,1,train,val,train,train,train
WP_011743496.1,1,train,val,train,train,train
EEG90151.1,1,train,val,train,train,train
WP_044930492.1,1,train,val,train,train,train
EEG90399.1,1,train,val,train,train,train
EEG89537.1,1,train,val,train,train,train
A0A8C0BX07,1,train,val,train,train,train
CBK66311.1,1,train,train,val,train,train
CBK67418.1,1,train,train,val,train,train
CBK67057.1,1,train,train,val,train,train
EEG90148.1,1,train,train,val,train,train
EEG88430.1,1,train,train,val,train,train
WP_008398343.1,1,train,train,val,train,train
CBK68322.1,1,train,train,val,train,train
WP_050785336.1,1,train,train,val,train,train
EEF68250.1,1,train,train,val,train,train
CBK66250.1,1,train,train,val,train,train
WP_003808901.1,1,train,train,val,train,train
EEG89486.1,1,train,train,val,train,train
WP_004612292.1,1,train,train,val,train,train
EDT46737.1,1,train,train,val,train,train
WP_004842535.1,1,train,train,val,train,train
CBK66370.1,1,train,train,val,train,train
WP_004844790.1,1,train,train,val,train,train
WP_008397545.1,1,train,train,val,train,train
EEF69134.1,1,train,train,val,train,train
WP_008398842.1,1,train,train,val,train,train
EEF68314.1,1,train,train,val,train,train
WP_011743385.1,1,train,train,val,train,train
EDT47942.1,1,train,train,val,train,train
EEF68849.1,1,train,train,val,train,train
EEF69615.1,1,train,train,val,train,train
EDT48482.1,1,train,train,val,train,train
EEG89703.1,1,train,train,val,train,train
EEF69014.1,1,train,train,val,train,train
CBK66418.1,1,train,train,val,train,train
WP_147594774.1,1,train,train,val,train,train
WP_009245899.1,1,train,train,val,train,train
WP_011743507.1,1,train,train,val,train,train
EEG90031.1,1,train,train,val,train,train
WP_003807037.1,1,train,train,val,train,train
P07914,1,train,train,val,train,train
CBK69681.1,1,train,train,val,train,train
EDT47112.1,1,train,train,val,train,train
WP_080505079.1,1,train,train,val,train,train
WP_011742839.1,1,train,train,val,train,train
WP_004844314.1,1,train,train,val,train,train
EDT48446.1,1,train,train,val,train,train
WP_008396521.1,1,train,train,train,val,train
WP_022037911.1,1,train,train,train,val,train
WP_008399402.1,1,train,train,train,val,train
EEG90786.1,1,train,train,train,val,train
EEG91323.1,1,train,train,train,val,train
WP_021913840.1,1,train,train,train,val,train
EEG88574.1,1,train,train,train,val,train
WP_003808388.1,1,train,train,train,val,train
WP_008396570.1,1,train,train,train,val,train
CBK65403.1,1,train,train,train,val,train
WP_009244739.1,1,train,train,train,val,train
CBK67162.1,1,train,train,train,val,train
CBK66676.1,1,train,train,train,val,train
WP_008398230.1,1,train,train,train,val,train
EDT48025.1,1,train,train,train,val,train
WP_113736355.1,1,train,train,train,val,train
EEF67264.1,1,train,train,train,val,train
WP_022036965.1,1,train,train,train,val,train
WP_024854132.1,1,train,train,train,val,train
CBK65965.1,1,train,train,train,val,train
WP_004844027.1,1,train,train,train,val,train
EEF66078.1,1,train,train,train,val,train
EEF68978.1,1,train,train,train,val,train
WP_004841423.1,1,train,train,train,val,train
CBK66199.1,1,train,train,train,val,train
CBK66684.1,1,train,train,train,val,train
EEF68453.1,1,train,train,train,val,train
WP_227910171.1,1,train,train,train,val,train
WP_044931456.1,1,train,train,train,val,train
WP_015574112.1,1,train,train,train,val,train
EEF66484.1,1,train,train,train,val,train
WP_004841809.1,1,train,train,train,val,train
EEF69154.1,1,train,train,train,val,train
EEG89027.1,1,train,train,train,val,train
WP_011743584.1,1,train,train,train,val,train
EEF69673.1,1,train,train,train,val,train
WP_008395080.1,1,train,train,train,val,train
WP_008395116.1,1,train,train,train,val,train
WP_003808238.1,1,train,train,train,val,train
EEF69103.1,1,train,train,train,val,train
CBK68077.1,1,train,train,train,val,train
WP_003809333.1,1,train,train,train,train,val
EEF68183.1,1,train,train,train,train,val
EEG88053.1,1,train,train,train,train,val
CBK68279.1,1,train,train,train,train,val
EDT48256.1,1,train,train,train,train,val
WP_004842253.1,1,train,train,train,train,val
EEG88698.1,1,train,train,train,train,val
WP_008397739.1,1,train,train,train,train,val
WP_004842825.1,1,train,train,train,train,val
WP_011743835.1,1,train,train,train,train,val
EEF66621.1,1,train,train,train,train,val
EEG88417.1,1,train,train,train,train,val
EEF67383.1,1,train,train,train,train,val
WP_008397421.1,1,train,train,train,train,val
EDT47113.1,1,train,train,train,train,val
EEG91174.1,1,train,train,train,train,val
WP_044930641.1,1,train,train,train,train,val
WP_039960195.1,1,train,train,train,train,val
WP_008397458.1,1,train,train,train,train,val
EEG91088.1,1,train,train,train,train,val
CBK66197.1,1,train,train,train,train,val
EEF69431.1,1,train,train,train,train,val
EEG88506.1,1,train,train,train,train,val
WP_008395983.1,1,train,train,train,train,val
CBK65723.1,1,train,train,train,train,val
WP_021913013.1,1,train,train,train,train,val
WP_003809300.1,1,train,train,train,train,val
CBK66231.1,1,train,train,train,train,val
WP_021966705.1,1,train,train,train,train,val
WP_003809290.1,1,train,train,train,train,val
EDT48249.1,1,train,train,train,train,val
EDT48467.1,1,train,train,train,train,val
WP_008395871.1,1,train,train,train,train,val
EDT47302.1,1,train,train,train,train,val
CBK69682.1,1,train,train,train,train,val
WP_004843486.1,1,train,train,train,train,val
EEF69352.1,1,train,train,train,train,val
CBK66419.1,1,train,train,train,train,val
EEF69006.1,1,train,train,train,train,val
EEG90153.1,1,train,train,train,train,val
WP_004840129.1,1,train,train,train,train,val
A4ECA9,1,val,train,train,train,train
WP_009245001.1,1,val,train,train,train,train
EEG88050.1,1,val,train,train,train,train
EEF69409.1,1,val,train,train,train,train
EEG89141.1,1,val,train,train,train,train
CBK69560.1,1,val,train,train,train,train
EEF68169.1,1,val,train,train,train,train
WP_044930427.1,1,val,train,train,train,train
A0A8D0DI01,1,val,train,train,train,train
O18404,1,val,train,train,train,train
A0A091CNS7,1,val,train,train,train,train
A0A674K0K8,1,val,train,train,train,train
WP_004841856.1,1,val,train,train,train,train
WP_021965757.1,1,val,train,train,train,train
WP_011743291.1,1,val,train,train,train,train
EEF65927.1,1,val,train,train,train,train
CBK66453.1,1,val,train,train,train,train
EDT47991.1,1,val,train,train,train,train
EEG87872.1,1,val,train,train,train,train
A0A6P8PFX7,1,val,train,train,train,train
CBK67226.1,1,val,train,train,train,train
EEF67878.1,1,val,train,train,train,train
CBK68545.1,1,val,train,train,train,train
A7B4V1|R9UAM1,1,val,train,train,train,train
WP_004844252.1,1,val,train,train,train,train
WP_138296735.1,1,val,train,train,train,train
WP_003808517.1,1,val,train,train,train,train
WP_015574125.1,1,val,train,train,train,train
EEG88634.1,1,val,train,train,train,train
WP_004843331.1,1,val,train,train,train,train
WP_004843410.1,1,val,train,train,train,train
O08756,1,val,train,train,train,train
EEG88993.1,1,val,train,train,train,train
CBK69227.1,1,val,train,train,train,train
EEF66087.1,1,val,train,train,train,train
Q06520,1,val,train,train,train,train
EEG88418.1,1,val,train,train,train,train
EDT48408.1,1,val,train,train,train,train
WP_004842958.1,1,val,train,train,train,train
P15709,1,val,train,train,train,train
CBK69630.1,1,val,train,train,train,train
WP_008396049.1,1,val,train,train,train,train
CBK66545.1,1,val,train,train,train,train
CBK65854.1,1,val,train,train,train,train
EDT46866.1,1,val,train,train,train,train
CBK67605.1,1,val,train,train,train,train
EEF68945.1,1,val,train,train,train,train
A0A8D0GHW1,1,val,train,train,train,train
WP_008394564.1,1,val,train,train,train,train
WP_008395105.1,1,val,train,train,train,train
WP_004842080.1,1,val,train,train,train,train
EEF67039.1,1,val,train,train,train,train
EEF69400.1,1,val,train,train,train,train
WP_083794786.1,1,val,train,train,train,train
EEF66780.1,1,val,train,train,train,train
F7E4F5,1,val,train,train,train,train
WP_008398809.1,1,val,train,train,train,train
EEF68632.1,1,val,train,train,train,train
CBK69533.1,1,val,train,train,train,train
EEF68011.1,1,val,train,train,train,train
CBK69221.1,1,val,train,train,train,train
A0A9F2R885,1,val,train,train,train,train
V9KVK8,1,val,train,train,train,train
Q8BGL3,1,val,train,train,train,train
WP_004841684.1,1,val,train,train,train,train
WP_041777553.1,1,val,train,train,train,train
EEF65977.1,1,val,train,train,train,train
A0A7J7UT34,1,val,train,train,train,train
A0A7M4DUL2,1,val,train,train,train,train
WP_004843655.1,1,val,train,train,train,train
WP_004843618.1,1,val,train,train,train,train
CBK69637.1,1,val,train,train,train,train
EDT47196.1,1,val,train,train,train,train
EEF68732.1,1,val,train,train,train,train
WP_004844058.1,1,val,train,train,train,train
A0A1L8H640|A0A974HV67,1,train,val,train,train,train
A0A8C3GJY7,1,train,val,train,train,train
WP_008394971.1,1,train,val,train,train,train
WP_011743849.1,1,train,val,train,train,train
WP_011743201.1,1,train,val,train,train,train
EDT46682.1,1,train,val,train,train,train
EEG91492.1,1,train,val,train,train,train
EEG90026.1,1,train,val,train,train,train
WP_041777282.1,1,train,val,train,train,train
A0A8D2DLA3,1,train,val,train,train,train
WP_011743321.1,1,train,val,train,train,train
WP_004844642.1,1,train,val,train,train,train
EEG89780.1,1,train,val,train,train,train
WP_041777366.1,1,train,val,train,train,train
WP_039959188.1,1,train,val,train,train,train
A0A8V5HEJ2,1,train,val,train,train,train
WP_004843441.1,1,train,val,train,train,train
EDT47590.1,1,train,val,train,train,train
EEG89177.1,1,train,val,train,train,train
WP_009244308.1,1,train,val,train,train,train
EDT46987.1,1,train,val,train,train,train
A0A6P7ZIQ1,1,train,val,train,train,train
EEF65762.1,1,train,val,train,train,train
CBK68740.1,1,train,val,train,train,train
CBK69364.1,1,train,val,train,train,train
EEF65632.1,1,train,val,train,train,train
EEF66356.1,1,train,val,train,train,train
CBK65581.1,1,train,val,train,train,train
EDT48419.1,1,train,val,train,train,train
WP_004840265.1,1,train,val,train,train,train
C8WMP0,1,train,val,train,train,train
EEF66593.1,1,train,val,train,train,train
EEG91343.1,1,train,val,train,train,train
A0A1S3A8Q9,1,train,val,train,train,train
WP_165480287.1,1,train,val,train,train,train
WP_050731458.1,1,train,val,train,train,train
WP_004843994.1,1,train,val,train,train,train
EEG91127.1,1,train,val,train,train,train
CBK67606.1,1,train,val,train,train,train
CBK67625.1,1,train,val,train,train,train
A0A6J3BKM0,1,train,val,train,train,train
A0A8D0FUK7,1,train,val,train,train,train
CBK66377.1,1,train,val,train,train,train
EEG90722.1,1,train,val,train,train,train
A0A250XXT7,1,train,val,train,train,train
WP_008396225.1,1,train,val,train,train,train
Q5RCF8,1,train,val,train,train,train
EDT46990.1,1,train,val,train,train,train
EEG88524.1,1,train,val,train,train,train
WP_015574820.1,1,train,val,train,train,train
EEG88858.1,1,train,val,train,train,train
A0A1U7SJN1,1,train,val,train,train,train
EEG91022.1,1,train,val,train,train,train
A0A8I6GHA3,1,train,val,train,train,train
CBK67726.1,1,train,val,train,train,train
WP_008395421.1,1,train,val,train,train,train
EDT47192.1,1,train,val,train,train,train
WP_008398785.1,1,train,val,train,train,train
EEF66231.1,1,train,val,train,train,train
WP_011742727.1,1,train,val,train,train,train
EEG91520.1,1,train,val,train,train,train
A0A6J2H2N4,1,train,val,train,train,train
WP_004840005.1,1,train,val,train,train,train
EEF67261.1,1,train,val,train,train,train
WP_008397450.1,1,train,val,train,train,train
WP_008396710.1,1,train,val,train,train,train
EDT47683.1,1,train,val,train,train,train
A0A1S3F3H2,1,train,val,train,train,train
EEF66746.1,1,train,val,train,train,train
CBK69430.1,1,train,val,train,train,train
WP_147594793.1,1,train,val,train,train,train
EDT48204.1,1,train,val,train,train,train
CBK66175.1,1,train,val,train,train,train
EEG90427.1,1,train,val,train,train,train
A0A8T2K8R0,1,train,val,train,train,train
A0A7J7SWY7,1,train,train,val,train,train
A0A6J0E6F3,1,train,train,val,train,train
WP_004843464.1,1,train,train,val,train,train
EEF67933.1,1,train,train,val,train,train
A0A8B9PP22,1,train,train,val,train,train
CBK68553.1,1,train,train,val,train,train
EEF69776.1,1,train,train,val,train,train
CBK69140.1,1,train,train,val,train,train
EEF67546.1,1,train,train,val,train,train
CBK66186.1,1,train,train,val,train,train
EEG90596.1,1,train,train,val,train,train
EDT46943.1,1,train,train,val,train,train
A0A8D0GDM3,1,train,train,val,train,train
EEF65738.1,1,train,train,val,train,train
WP_011742913.1,1,train,train,val,train,train
EEG91132.1,1,train,train,val,train,train
CBK65765.1,1,train,train,val,train,train
WP_004844600.1,1,train,train,val,train,train
WP_011743874.1,1,train,train,val,train,train
WP_004844493.1,1,train,train,val,train,train
EEG87875.1,1,train,train,val,train,train
A0A8C5LT44,1,train,train,val,train,train
EEF65710.1,1,train,train,val,train,train
EEF69053.1,1,train,train,val,train,train
EEF69194.1,1,train,train,val,train,train
WP_008394820.1,1,train,train,val,train,train
WP_044931122.1,1,train,train,val,train,train
A0A6P3QXL9,1,train,train,val,train,train
A0A8J6KE31,1,train,train,val,train,train
EEF68595.1,1,train,train,val,train,train
A0A4X2L1S3,1,train,train,val,train,train
EEG90269.1,1,train,train,val,train,train
EEF66652.1,1,train,train,val,train,train
WP_008397289.1,1,train,train,val,train,train
EEF68310.1,1,train,train,val,train,train
EEG88981.1,1,train,train,val,train,train
WP_011742862.1,1,train,train,val,train,train
EEF65787.1,1,train,train,val,train,train
A0A096MXN2,1,train,train,val,train,train
WP_008395862.1,1,train,train,val,train,train
B2RVI8,1,train,train,val,train,train
WP_004840259.1,1,train,train,val,train,train
K7F6X4,1,train,train,val,train,train
EEF68816.1,1,train,train,val,train,train
WP_008398649.1,1,train,train,val,train,train
CBK65812.1,1,train,train,val,train,train
CBK65887.1,1,train,train,val,train,train
WP_004840735.1,1,train,train,val,train,train
EEG90111.1,1,train,train,val,train,train
A0A674JW93,1,train,train,val,train,train
WP_021966857.1,1,train,train,val,train,train
A0A8C8SFW3,1,train,train,val,train,train
EEF69323.1,1,train,train,val,train,train
CBK67749.1,1,train,train,val,train,train
H3BH17,1,train,train,val,train,train
CBK66738.1,1,train,train,val,train,train
EEF66125.1,1,train,train,val,train,train
EEG90887.1,1,train,train,val,train,train
CBK67386.1,1,train,train,val,train,train
EEG88079.1,1,train,train,val,train,train
A0A3L8QC99,1,train,train,val,train,train
WP_009244987.1,1,train,train,val,train,train
EEF69403.1,1,train,train,val,train,train
WP_011742666.1,1,train,train,val,train,train
I3MRR5,1,train,train,val,train,train
EEF68388.1,1,train,train,val,train,train
EEF66797.1,1,train,train,val,train,train
WP_039959966.1,1,train,train,val,train,train
A0A8C2UMY2,1,train,train,val,train,train
WP_003808760.1,1,train,train,val,train,train
WP_003835331.1,1,train,train,val,train,train
A7AZH2,1,train,train,val,train,train
WP_008398091.1,1,train,train,val,train,train
EDT48162.1,1,train,train,val,train,train
WP_008396467.1,1,train,train,val,train,train
EDT47021.1,1,train,train,train,val,train
CBK69315.1,1,train,train,train,val,train
WP_008396336.1,1,train,train,train,val,train
CBK66023.1,1,train,train,train,val,train
EEG90168.1,1,train,train,train,val,train
A0A8C5NXY3,1,train,train,train,val,train
WP_015544537.1,1,train,train,train,val,train
A0A8C6ZAN9,1,train,train,train,val,train
EEF69565.1,1,train,train,train,val,train
EDT47342.1,1,train,train,train,val,train
EDT47513.1,1,train,train,train,val,train
EEF66109.1,1,train,train,train,val,train
WP_105084796.1,1,train,train,train,val,train
A0A0B8RZ77,1,train,train,train,val,train
WP_008396907.1,1,train,train,train,val,train
G3SPQ6,1,train,train,train,val,train
WP_039959504.1,1,train,train,train,val,train
EDT48649.1,1,train,train,train,val,train
EEF66874.1,1,train,train,train,val,train
WP_011743303.1,1,train,train,train,val,train
WP_008399443.1,1,train,train,train,val,train
EEG91519.1,1,train,train,train,val,train
CBK67384.1,1,train,train,train,val,train
P52843,1,train,train,train,val,train
EEG89800.1,1,train,train,train,val,train
WP_004844836.1,1,train,train,train,val,train
EDT47558.1,1,train,train,train,val,train
Q5LA59,1,train,train,train,val,train
EEG91079.1,1,train,train,train,val,train
H0XT07,1,train,train,train,val,train
WP_008398095.1,1,train,train,train,val,train
A0A6J0SMT2,1,train,train,train,val,train
A0A6J2N3P4,1,train,train,train,val,train
EEG87930.1,1,train,train,train,val,train
A0A8B7TC48,1,train,train,train,val,train
WP_041777470.1,1,train,train,train,val,train
A0A493SY82,1,train,train,train,val,train
EEG91126.1,1,train,train,train,val,train
A0A672UKT6,1,train,train,train,val,train
EEF68809.1,1,train,train,train,val,train
A0A8J6KV95,1,train,train,train,val,train
G9FRD6,1,train,train,train,val,train
WP_011743042.1,1,train,train,train,val,train
WP_008397627.1,1,train,train,train,val,train
EDT47401.1,1,train,train,train,val,train
EDT47336.1,1,train,train,train,val,train
EEG90194.1,1,train,train,train,val,train
EEF69678.1,1,train,train,train,val,train
A0A6P3FNH3,1,train,train,train,val,train
P51975,1,train,train,train,val,train
EEG90598.1,1,train,train,train,val,train
EEF68025.1,1,train,train,train,val,train
EEF68884.1,1,train,train,train,val,train
WP_044931747.1,1,train,train,train,val,train
WP_242648896.1,1,train,train,train,val,train
EDT47310.1,1,train,train,train,val,train
WP_008396365.1,1,train,train,train,val,train
WP_009245142.1,1,train,train,train,val,train
EEG89545.1,1,train,train,train,val,train
CBK65830.1,1,train,train,train,val,train
WP_006874319.1,1,train,train,train,val,train
P52842,1,train,train,train,val,train
WP_003810740.1,1,train,train,train,val,train
A0A174SBT9,1,train,train,train,val,train
WP_009244364.1,1,train,train,train,val,train
WP_230456886.1,1,train,train,train,val,train
WP_011742990.1,1,train,train,train,val,train
A0A3M0JG39,1,train,train,train,val,train
EEF66733.1,1,train,train,train,val,train
WP_008398401.1,1,train,train,train,val,train
CBK65635.1,1,train,train,train,val,train
EEG89808.1,1,train,train,train,val,train
CBK67811.1,1,train,train,train,val,train
WP_008395668.1,1,train,train,train,val,train
C8WGQ3,1,train,train,train,val,train
EDT47885.1,1,train,train,train,train,val
WP_227910039.1,1,train,train,train,train,val
WP_008397911.1,1,train,train,train,train,val
WP_004841258.1,1,train,train,train,train,val
WP_008395125.1,1,train,train,train,train,val
EDT47335.1,1,train,train,train,train,val
EDT48509.1,1,train,train,train,train,val
WP_008397160.1,1,train,train,train,train,val
A0A1U7SJ02,1,train,train,train,train,val
EEF67812.1,1,train,train,train,train,val
WP_021965579.1,1,train,train,train,train,val
EEF67822.1,1,train,train,train,train,val
EDT47388.1,1,train,train,train,train,val
WP_227910038.1,1,train,train,train,train,val
CBK68060.1,1,train,train,train,train,val
EDT47589.1,1,train,train,train,train,val
EEF67754.1,1,train,train,train,train,val
A0A2Y9GLD4,1,train,train,train,train,val
EEF65792.1,1,train,train,train,train,val
CBK66379.1,1,train,train,train,train,val
WP_008397128.1,1,train,train,train,train,val
A0A341BVP6,1,train,train,train,train,val
WP_021913803.1,1,train,train,train,train,val
EEF68796.1,1,train,train,train,train,val
EEF66426.1,1,train,train,train,train,val
EDT47721.1,1,train,train,train,train,val
EEF68555.1,1,train,train,train,train,val
WP_004841541.1,1,train,train,train,train,val
A0A8N5I493,1,train,train,train,train,val
A0A8C3WL04,1,train,train,train,train,val
EEF67649.1,1,train,train,train,train,val
WP_011743158.1,1,train,train,train,train,val
G9FRD7,1,train,train,train,train,val
CBK68307.1,1,train,train,train,train,val
WP_004843210.1,1,train,train,train,train,val
EEG90600.1,1,train,train,train,train,val
WP_182433283.1,1,train,train,train,train,val
C8WJW0,1,train,train,train,train,val
EEG89324.1,1,train,train,train,train,val
WP_041777312.1,1,train,train,train,train,val
WP_024852402.1,1,train,train,train,train,val
P50200,1,train,train,train,train,val
EDT47658.1,1,train,train,train,train,val
A0A9E1ETB0,1,train,train,train,train,val
EEG90216.1,1,train,train,train,train,val
EDT48472.1,1,train,train,train,train,val
P0AET8|P0AET9,1,train,train,train,train,val
CBK66283.1,1,train,train,train,train,val
EEF66865.1,1,train,train,train,train,val
WP_004841895.1,1,train,train,train,train,val
CBK68105.1,1,train,train,train,train,val
CBK69655.1,1,train,train,train,train,val
WP_004844139.1,1,train,train,train,train,val
A0A7J8CR09,1,train,train,train,train,val
WP_004220574.1,1,train,train,train,train,val
A0A8C5T6Z5,1,train,train,train,train,val
WP_008397147.1,1,train,train,train,train,val
A0A8C6QUX2,1,train,train,train,train,val
Q7M3I4,1,train,train,train,train,val
EEF69506.1,1,train,train,train,train,val
WP_147594765.1,1,train,train,train,train,val
WP_008399091.1,1,train,train,train,train,val
WP_008395114.1,1,train,train,train,train,val
CBK65615.1,1,train,train,train,train,val
EDT48481.1,1,train,train,train,train,val
EEF67373.1,1,train,train,train,train,val
EEF68762.1,1,train,train,train,train,val
CBK66564.1,1,train,train,train,train,val
EEG88483.1,1,train,train,train,train,val
WP_004844791.1,1,train,train,train,train,val
A0A8D2KYS1,1,train,train,train,train,val
EEF68199.1,1,train,train,train,train,val
EEF66633.1,1,train,train,train,train,val
EEG90737.1,1,train,train,train,train,val
EEG89271.1,1,train,train,train,train,val
